Internal ID,Date,Type,Document Number,Name,Amount Remaining,Amount,Memo,PO/Check Number,Status,Customer Internal ID
73876,11/20/2019,Invoice,I135852,Bluestem Brands,85.17,85.17,PO000075524075,,Open,4871
73863,11/21/2019,Invoice,I135933,Bluestem Brands,85.17,85.17,PO000075549741,,Open,4871
73864,11/21/2019,Invoice,I135932,Bluestem Brands,85.17,85.17,PO000075548686,,Open,4871
73865,11/21/2019,Invoice,I135931,Bluestem Brands,85.17,85.17,PO000075564768,,Open,4871
73866,11/21/2019,Invoice,I135930,Bluestem Brands,85.17,85.17,PO000075547748,,Open,4871
73867,11/21/2019,Invoice,I135929,Bluestem Brands,85.17,85.17,PO000075553111,,Open,4871
73868,11/21/2019,Invoice,I135928,Bluestem Brands,85.17,85.17,PO000075552217,,Open,4871
73869,11/21/2019,Invoice,I135926,Bluestem Brands,85.17,85.17,PO000075564648,,Open,4871
73870,11/21/2019,Invoice,I135925,Bluestem Brands,85.17,85.17,PO000075562245,,Open,4871
73871,11/21/2019,Invoice,I135924,Bluestem Brands,85.17,85.17,PO000075562078,,Open,4871
73872,11/21/2019,Invoice,I135914,Bluestem Brands,819,819,PO000075570196,,Open,4871
73873,11/21/2019,Invoice,I135902,Bluestem Brands,85.17,85.17,PO000075572190,,Open,4871
73874,11/21/2019,Invoice,I135865,Bluestem Brands,85.17,85.17,PO000075582224,,Open,4871
73875,11/21/2019,Invoice,I135862,Bluestem Brands,470.6,470.6,PO000075582824,,Open,4871
73852,11/22/2019,Invoice,I136093,Bluestem Brands,85.17,85.17,PO000075605227,,Open,4871
73853,11/22/2019,Invoice,I136092,Bluestem Brands,85.17,85.17,PO000075602493,,Open,4871
73854,11/22/2019,Invoice,I136091,Bluestem Brands,85.17,85.17,PO000075608791,,Open,4871
73855,11/22/2019,Invoice,I136085,Bluestem Brands,796.47,796.47,PO000075594261,,Open,4871
73856,11/22/2019,Invoice,I136080,Bluestem Brands,819,819,PO000075593343,,Open,4871
73857,11/22/2019,Invoice,I136077,Bluestem Brands,1858.21,1858.21,PO000075589987,,Open,4871
73858,11/22/2019,Invoice,I136056,Bluestem Brands,1497.92,1497.92,PO000075612733,,Open,4871
73859,11/22/2019,Invoice,I136051,Bluestem Brands,85.17,85.17,PO000075617168,,Open,4871
73860,11/22/2019,Invoice,I136050,Bluestem Brands,85.17,85.17,PO000075618143,,Open,4871
73861,11/22/2019,Invoice,I136040,Bluestem Brands,85.17,85.17,PO000075609999,,Open,4871
73862,11/22/2019,Invoice,I136037,Bluestem Brands,294,294,PO000075600201,,Open,4871
73828,11/25/2019,Invoice,I136348,Bluestem Brands,85.17,85.17,PO000075664403,,Open,4871
73829,11/25/2019,Invoice,I136342,Bluestem Brands,85.17,85.17,PO000075669666,,Open,4871
73830,11/25/2019,Invoice,I136337,Bluestem Brands,984.15,984.15,PO000075661258,,Open,4871
73831,11/25/2019,Invoice,I136336,Bluestem Brands,984.15,984.15,PO000075640003,,Open,4871
73832,11/25/2019,Invoice,I136334,Bluestem Brands,85.17,85.17,PO000075659817,,Open,4871
73833,11/25/2019,Invoice,I136333,Bluestem Brands,85.17,85.17,PO000075656570,,Open,4871
73834,11/25/2019,Invoice,I136331,Bluestem Brands,85.17,85.17,PO000075657328,,Open,4871
73835,11/25/2019,Invoice,I136322,Bluestem Brands,1497.92,1497.92,PO000075698729,,Open,4871
73836,11/25/2019,Invoice,I136320,Bluestem Brands,796.47,796.47,PO000075677220,,Open,4871
73837,11/25/2019,Invoice,I136313,Bluestem Brands,294,294,PO000075631511,,Open,4871
73838,11/25/2019,Invoice,I136304,Bluestem Brands,170.34,170.34,PO000075622312,,Open,4871
73839,11/25/2019,Invoice,I136286,Bluestem Brands,85.17,85.17,PO000075649958,,Open,4871
73840,11/25/2019,Invoice,I136284,Bluestem Brands,796.47,796.47,PO000075696035,,Open,4871
73841,11/25/2019,Invoice,I136283,Bluestem Brands,85.17,85.17,PO000075642806,,Open,4871
73842,11/25/2019,Invoice,I136276,Bluestem Brands,294,294,PO000075679478,,Open,4871
73843,11/25/2019,Invoice,I136273,Bluestem Brands,85.17,85.17,PO000075633238,,Open,4871
73844,11/25/2019,Invoice,I136272,Bluestem Brands,239,239,PO000075666380,,Open,4871
73845,11/25/2019,Invoice,I136270,Bluestem Brands,294,294,PO000075707292,,Open,4871
73846,11/25/2019,Invoice,I136269,Bluestem Brands,302.94,302.94,PO000075693428,,Open,4871
73847,11/25/2019,Invoice,I136252,Bluestem Brands,1497.92,1497.92,PO000075643738,,Open,4871
73848,11/25/2019,Invoice,I136240,Bluestem Brands,984.15,984.15,PO000075722213,,Open,4871
73849,11/25/2019,Invoice,I136228,Bluestem Brands,294,294,PO000075721177,,Open,4871
73850,11/25/2019,Invoice,I136215,Bluestem Brands,85.17,85.17,PO000075637497,,Open,4871
73851,11/25/2019,Invoice,I136188,Bluestem Brands,360.29,360.29,PO000075647984,,Open,4871
73825,11/26/2019,Invoice,I136481,Bluestem Brands,85.17,85.17,PO000075745093,,Open,4871
73826,11/26/2019,Invoice,I136480,Bluestem Brands,294,294,PO000075741209,,Open,4871
73827,11/26/2019,Invoice,I136453,Bluestem Brands,796.47,796.47,PO000075750867,,Open,4871
73818,11/27/2019,Invoice,I136929,Bluestem Brands,984.15,984.15,PO000075787532,,Open,4871
73819,11/27/2019,Invoice,I136916,Bluestem Brands,1497.92,1497.92,PO000075757964,,Open,4871
73820,11/27/2019,Invoice,I136867,Bluestem Brands,85.17,85.17,PO000075771015,,Open,4871
73821,11/27/2019,Invoice,I136866,Bluestem Brands,85.17,85.17,PO000075774179,,Open,4871
73822,11/27/2019,Invoice,I136865,Bluestem Brands,85.17,85.17,PO000075762659,,Open,4871
73823,11/27/2019,Invoice,I136864,Bluestem Brands,85.17,85.17,PO000075774662,,Open,4871
73824,11/27/2019,Invoice,I136860,Bluestem Brands,294,294,PO000075771973,,Open,4871
73804,11/29/2019,Invoice,I137032,Bluestem Brands,360.29,360.29,PO000075801972,,Open,4871
73805,11/29/2019,Invoice,I137028,Bluestem Brands,239,239,PO000075865366,,Open,4871
73806,11/29/2019,Invoice,I137026,Bluestem Brands,85.17,85.17,PO000075865248,,Open,4871
73807,11/29/2019,Invoice,I137024,Bluestem Brands,294,294,PO000075827885,,Open,4871
73808,11/29/2019,Invoice,I137023,Bluestem Brands,85.17,85.17,PO000075849517,,Open,4871
73809,11/29/2019,Invoice,I137021,Bluestem Brands,85.17,85.17,PO000075850786,,Open,4871
73810,11/29/2019,Invoice,I137020,Bluestem Brands,302.94,302.94,PO000075805140,,Open,4871
73811,11/29/2019,Invoice,I137019,Bluestem Brands,302.94,302.94,PO000075824224,,Open,4871
73812,11/29/2019,Invoice,I137018,Bluestem Brands,85.17,85.17,PO000075837864,,Open,4871
73813,11/29/2019,Invoice,I136981,Bluestem Brands,85.17,85.17,PO000075846995,,Open,4871
73814,11/29/2019,Invoice,I136980,Bluestem Brands,85.17,85.17,PO000075851996,,Open,4871
73815,11/29/2019,Invoice,I136979,Bluestem Brands,302.94,302.94,PO000075850595,,Open,4871
73816,11/29/2019,Invoice,I136978,Bluestem Brands,85.17,85.17,PO000075829685,,Open,4871
73817,11/29/2019,Invoice,I136972,Bluestem Brands,85.17,85.17,PO000075802984,,Open,4871
73572,12-02-2019,Invoice,I137539,Bluestem Brands,85.17,85.17,PO000075983615,,Open,4871
73573,12-02-2019,Invoice,I137501,Bluestem Brands,85.17,85.17,PO000075892174,,Open,4871
73574,12-02-2019,Invoice,I137498,Bluestem Brands,85.17,85.17,PO000075882283,,Open,4871
73575,12-02-2019,Invoice,I137497,Bluestem Brands,85.17,85.17,PO000076023686,,Open,4871
73576,12-02-2019,Invoice,I137496,Bluestem Brands,85.17,85.17,PO000075878535,,Open,4871
73577,12-02-2019,Invoice,I137494,Bluestem Brands,294,294,PO000076012493,,Open,4871
73578,12-02-2019,Invoice,I137490,Bluestem Brands,302.94,302.94,PO000075965446,,Open,4871
73579,12-02-2019,Invoice,I137454,Bluestem Brands,170.34,170.34,PO000075996713,,Open,4871
73580,12-02-2019,Invoice,I137452,Bluestem Brands,796.47,796.47,PO000075959089,,Open,4871
73581,12-02-2019,Invoice,I137451,Bluestem Brands,1497.92,1497.92,PO000075986591,,Open,4871
73582,12-02-2019,Invoice,I137450,Bluestem Brands,796.47,796.47,PO000076002859,,Open,4871
73583,12-02-2019,Invoice,I137449,Bluestem Brands,170.34,170.34,PO000075922902,,Open,4871
73584,12-02-2019,Invoice,I137448,Bluestem Brands,85.17,85.17,PO000075913504,,Open,4871
73585,12-02-2019,Invoice,I137447,Bluestem Brands,85.17,85.17,PO000075919693,,Open,4871
73586,12-02-2019,Invoice,I137446,Bluestem Brands,85.17,85.17,PO000075921144,,Open,4871
73587,12-02-2019,Invoice,I137445,Bluestem Brands,239,239,PO000075954765,,Open,4871
73588,12-02-2019,Invoice,I137443,Bluestem Brands,239.37,239.37,PO000075877186,,Open,4871
73589,12-02-2019,Invoice,I137439,Bluestem Brands,85.17,85.17,PO000075948424,,Open,4871
73590,12-02-2019,Invoice,I137437,Bluestem Brands,85.17,85.17,PO000075961669,,Open,4871
73591,12-02-2019,Invoice,I137436,Bluestem Brands,731.45,731.45,PO000075880456,,Open,4871
73592,12-02-2019,Invoice,I137313,Bluestem Brands,85.17,85.17,PO000075952553,,Open,4871
73593,12-02-2019,Invoice,I137312,Bluestem Brands,85.17,85.17,PO000075920682,,Open,4871
73594,12-02-2019,Invoice,I137311,Bluestem Brands,85.17,85.17,PO000075906122,,Open,4871
73595,12-02-2019,Invoice,I137310,Bluestem Brands,984.15,984.15,PO000076008680,,Open,4871
73596,12-02-2019,Invoice,I137300,Bluestem Brands,819,819,PO000075954559,,Open,4871
73597,12-02-2019,Invoice,I137299,Bluestem Brands,85.17,85.17,PO000076011727,,Open,4871
73598,12-02-2019,Invoice,I137295,Bluestem Brands,85.17,85.17,PO000075991126,,Open,4871
73599,12-02-2019,Invoice,I137292,Bluestem Brands,85.17,85.17,PO000076022976,,Open,4871
73600,12-02-2019,Invoice,I137291,Bluestem Brands,85.17,85.17,PO000076006339,,Open,4871
73601,12-02-2019,Invoice,I137271,Bluestem Brands,239,239,PO000075874503,,Open,4871
73602,12-02-2019,Invoice,I137270,Bluestem Brands,294,294,PO000075982339,,Open,4871
73603,12-02-2019,Invoice,I137203,Bluestem Brands,984.15,984.15,PO000076056077,,Open,4871
73551,12-03-2019,Invoice,I137797,Bluestem Brands,294,294,PO000076104007,,Open,4871
73552,12-03-2019,Invoice,I137796,Bluestem Brands,294,294,PO000076058347,,Open,4871
73553,12-03-2019,Invoice,I137795,Bluestem Brands,294,294,PO000076096022,,Open,4871
73554,12-03-2019,Invoice,I137794,Bluestem Brands,294,294,PO000076092480,,Open,4871
73555,12-03-2019,Invoice,I137793,Bluestem Brands,294,294,PO000076129609,,Open,4871
73556,12-03-2019,Invoice,I137792,Bluestem Brands,294,294,PO000076122094,,Open,4871
73557,12-03-2019,Invoice,I137791,Bluestem Brands,302.94,302.94,PO000076143172,,Open,4871
73558,12-03-2019,Invoice,I137790,Bluestem Brands,294,294,PO000076089958,,Open,4871
73559,12-03-2019,Invoice,I137789,Bluestem Brands,302.94,302.94,PO000076100647,,Open,4871
73560,12-03-2019,Invoice,I137788,Bluestem Brands,302.94,302.94,PO000076139708,,Open,4871
73561,12-03-2019,Invoice,I137786,Bluestem Brands,1858.21,1858.21,PO000076094022,,Open,4871
73562,12-03-2019,Invoice,I137783,Bluestem Brands,796.47,796.47,PO000076091982,,Open,4871
73563,12-03-2019,Invoice,I137780,Bluestem Brands,239,239,PO000076120241,,Open,4871
73564,12-03-2019,Invoice,I137773,Bluestem Brands,239,239,PO000076089994,,Open,4871
73565,12-03-2019,Invoice,I137753,Bluestem Brands,819,819,PO000076081505,,Open,4871
73566,12-03-2019,Invoice,I137736,Bluestem Brands,239,239,PO000076153317,,Open,4871
73567,12-03-2019,Invoice,I137674,Bluestem Brands,984.15,984.15,PO000076140973,,Open,4871
73568,12-03-2019,Invoice,I137673,Bluestem Brands,984.15,984.15,PO000076077149,,Open,4871
73569,12-03-2019,Invoice,I137662,Bluestem Brands,1497.92,1497.92,PO000076059581,,Open,4871
73570,12-03-2019,Invoice,I137661,Bluestem Brands,1497.92,1497.92,PO000076105464,,Open,4871
73571,12-03-2019,Invoice,I137658,Bluestem Brands,984.15,984.15,PO000076070727,,Open,4871
73545,12-04-2019,Invoice,I138036,Bluestem Brands,85.17,85.17,PO000076199214,,Open,4871
73546,12-04-2019,Invoice,I138030,Bluestem Brands,85.17,85.17,PO000076197222,,Open,4871
73547,12-04-2019,Invoice,I138025,Bluestem Brands,984.15,984.15,PO000076194565,,Open,4871
73548,12-04-2019,Invoice,I138002,Bluestem Brands,170.34,170.34,PO000076222569,,Open,4871
73549,12-04-2019,Invoice,I137988,Bluestem Brands,85.17,85.17,PO000076198759,,Open,4871
73550,12-04-2019,Invoice,I137973,Bluestem Brands,984.15,984.15,PO000076211276,,Open,4871
73535,12-05-2019,Invoice,I138198,Bluestem Brands,85.17,85.17,PO000076241010,,Open,4871
73536,12-05-2019,Invoice,I138197,Bluestem Brands,85.17,85.17,PO000076243206,,Open,4871
73537,12-05-2019,Invoice,I138195,Bluestem Brands,85.17,85.17,PO000076260268,,Open,4871
73538,12-05-2019,Invoice,I138188,Bluestem Brands,85.17,85.17,PO000076245273,,Open,4871
73539,12-05-2019,Invoice,I138173,Bluestem Brands,85.17,85.17,PO000076233234,,Open,4871
73540,12-05-2019,Invoice,I138172,Bluestem Brands,85.17,85.17,PO000076232493,,Open,4871
73541,12-05-2019,Invoice,I138168,Bluestem Brands,239,239,PO000076238828,,Open,4871
73542,12-05-2019,Invoice,I138144,Bluestem Brands,294,294,PO000076232522,,Open,4871
73543,12-05-2019,Invoice,I138142,Bluestem Brands,302.94,302.94,PO000076235001,,Open,4871
73544,12-05-2019,Invoice,I138140,Bluestem Brands,302.94,302.94,PO000076236102,,Open,4871
73521,12-06-2019,Invoice,I138468,Bluestem Brands,85.17,85.17,PO000076287972,,Open,4871
73522,12-06-2019,Invoice,I138465,Bluestem Brands,85.17,85.17,PO000076298011,,Open,4871
73523,12-06-2019,Invoice,I138464,Bluestem Brands,85.17,85.17,PO000076305114,,Open,4871
73524,12-06-2019,Invoice,I138459,Bluestem Brands,302.94,302.94,PO000076293453,,Open,4871
73525,12-06-2019,Invoice,I138458,Bluestem Brands,85.17,85.17,PO000076280961,,Open,4871
73526,12-06-2019,Invoice,I138457,Bluestem Brands,85.17,85.17,PO000076289522,,Open,4871
73527,12-06-2019,Invoice,I138456,Bluestem Brands,85.17,85.17,PO000076297482,,Open,4871
73528,12-06-2019,Invoice,I138454,Bluestem Brands,85.17,85.17,PO000076286156,,Open,4871
73529,12-06-2019,Invoice,I138447,Bluestem Brands,640.2,640.2,PO000076314022,,Open,4871
73530,12-06-2019,Invoice,I138446,Bluestem Brands,294,294,PO000076292898,,Open,4871
73531,12-06-2019,Invoice,I138444,Bluestem Brands,239,239,PO000076305730,,Open,4871
73532,12-06-2019,Invoice,I138441,Bluestem Brands,85.17,85.17,PO000076319688,,Open,4871
73533,12-06-2019,Invoice,I138424,Bluestem Brands,170.34,170.34,PO000076325526,,Open,4871
73534,12-06-2019,Invoice,I138406,Bluestem Brands,85.17,85.17,PO000076316430,,Open,4871
73395,12-09-2019,Invoice,I138799,Bluestem Brands,85.17,85.17,PO000076337457,,Open,4871
73396,12-09-2019,Invoice,I138758,Bluestem Brands,360.29,360.29,PO000076368323,,Open,4871
73397,12-09-2019,Invoice,I138706,Bluestem Brands,85.17,85.17,PO000076358022,,Open,4871
73398,12-09-2019,Invoice,I138702,Bluestem Brands,239,239,PO000076436815,,Open,4871
73399,12-09-2019,Invoice,I138701,Bluestem Brands,239,239,PO000076346642,,Open,4871
73400,12-09-2019,Invoice,I138698,Bluestem Brands,984.15,984.15,PO000076399994,,Open,4871
73401,12-09-2019,Invoice,I138695,Bluestem Brands,85.17,85.17,PO000076374689,,Open,4871
73402,12-09-2019,Invoice,I138693,Bluestem Brands,796.47,796.47,PO000076396958,,Open,4871
73403,12-09-2019,Invoice,I138692,Bluestem Brands,805,805,PO000076463469,,Open,4871
73504,12-09-2019,Invoice,I138679,Bluestem Brands,984.15,984.15,PO000076336617,,Open,4871
73505,12-09-2019,Invoice,I138677,Bluestem Brands,85.17,85.17,PO000076380585,,Open,4871
73506,12-09-2019,Invoice,I138676,Bluestem Brands,85.17,85.17,PO000076409511,,Open,4871
73507,12-09-2019,Invoice,I138675,Bluestem Brands,85.17,85.17,PO000076359536,,Open,4871
73508,12-09-2019,Invoice,I138674,Bluestem Brands,85.17,85.17,PO000076397866,,Open,4871
73509,12-09-2019,Invoice,I138673,Bluestem Brands,85.17,85.17,PO000076372567,,Open,4871
73510,12-09-2019,Invoice,I138672,Bluestem Brands,85.17,85.17,PO000076414824,,Open,4871
73511,12-09-2019,Invoice,I138671,Bluestem Brands,85.17,85.17,PO000076416347,,Open,4871
73512,12-09-2019,Invoice,I138670,Bluestem Brands,85.17,85.17,PO000076341702,,Open,4871
73513,12-09-2019,Invoice,I138669,Bluestem Brands,85.17,85.17,PO000076343626,,Open,4871
73514,12-09-2019,Invoice,I138668,Bluestem Brands,85.17,85.17,PO000076417007,,Open,4871
73515,12-09-2019,Invoice,I138666,Bluestem Brands,294,294,PO000076431688,,Open,4871
73516,12-09-2019,Invoice,I138665,Bluestem Brands,79.79,79.79,PO000076447280,,Open,4871
73517,12-09-2019,Invoice,I138664,Bluestem Brands,85.17,85.17,PO000076391904,,Open,4871
73518,12-09-2019,Invoice,I138663,Bluestem Brands,85.17,85.17,PO000076368950,,Open,4871
73519,12-09-2019,Invoice,I138662,Bluestem Brands,85.17,85.17,PO000076348232,,Open,4871
73520,12-09-2019,Invoice,I138655,Bluestem Brands,85.17,85.17,PO000076359118,,Open,4871
73387,12-10-2019,Invoice,I139168,Bluestem Brands,239,239,PO000076504208,,Open,4871
73388,12-10-2019,Invoice,I139136,Bluestem Brands,85.17,85.17,PO000076512919,,Open,4871
73389,12-10-2019,Invoice,I139135,Bluestem Brands,294,294,PO000076538601,,Open,4871
73390,12-10-2019,Invoice,I139134,Bluestem Brands,1497.92,1497.92,PO000076502157,,Open,4871
73391,12-10-2019,Invoice,I139127,Bluestem Brands,294,294,PO000076556752,,Open,4871
73392,12-10-2019,Invoice,I139119,Bluestem Brands,85.17,85.17,PO000076512325,,Open,4871
73393,12-10-2019,Invoice,I139103,Bluestem Brands,239,239,PO000076529643,,Open,4871
73394,12-10-2019,Invoice,I139097,Bluestem Brands,796.47,796.47,PO000076515432,,Open,4871
73378,12-11-2019,Invoice,I139335,Bluestem Brands,294,294,PO000076567763,,Open,4871
73379,12-11-2019,Invoice,I139323,Bluestem Brands,796.47,796.47,PO000076566259,,Open,4871
73380,12-11-2019,Invoice,I139295,Bluestem Brands,984.15,984.15,PO000076630457,,Open,4871
73381,12-11-2019,Invoice,I139274,Bluestem Brands,294,294,PO000076612744,,Open,4871
73382,12-11-2019,Invoice,I139272,Bluestem Brands,819,819,PO000076605990,,Open,4871
73383,12-11-2019,Invoice,I139269,Bluestem Brands,984.15,984.15,PO000076621770,,Open,4871
73384,12-11-2019,Invoice,I139267,Bluestem Brands,239,239,PO000076621095,,Open,4871
73385,12-11-2019,Invoice,I139266,Bluestem Brands,302.94,302.94,PO000076622673,,Open,4871
73386,12-11-2019,Invoice,I139265,Bluestem Brands,239,239,PO000076624216,,Open,4871
73373,12-12-2019,Invoice,I139469,Bluestem Brands,984.15,984.15,PO000076649587,,Open,4871
73374,12-12-2019,Invoice,I139448,Bluestem Brands,302.94,302.94,PO000076687024,,Open,4871
73375,12-12-2019,Invoice,I139442,Bluestem Brands,302.94,302.94,PO000076695742,,Open,4871
73376,12-12-2019,Invoice,I139414,Bluestem Brands,239,239,PO000076657577,,Open,4871
73377,12-12-2019,Invoice,I139413,Bluestem Brands,819,819,PO000076655899,,Open,4871
73371,12/13/2019,Invoice,I139694,Bluestem Brands,294,294,PO000076705138,,Open,4871
73372,12/13/2019,Invoice,I139642,Bluestem Brands,239,239,PO000076709010,,Open,4871
73342,12/16/2019,Invoice,I140027,Bluestem Brands,302.94,302.94,PO000076860363,,Open,4871
73343,12/16/2019,Invoice,I140026,Bluestem Brands,302.94,302.94,PO000076794884,,Open,4871
73344,12/16/2019,Invoice,I140025,Bluestem Brands,302.94,302.94,PO000076841215,,Open,4871
73345,12/16/2019,Invoice,I140024,Bluestem Brands,294,294,PO000076807240,,Open,4871
73346,12/16/2019,Invoice,I140023,Bluestem Brands,302.94,302.94,PO000076799016,,Open,4871
73347,12/16/2019,Invoice,I140009,Bluestem Brands,1497.92,1497.92,PO000076794087,,Open,4871
73348,12/16/2019,Invoice,I140008,Bluestem Brands,1497.92,1497.92,PO000076909881,,Open,4871
